1|401 584 49
2|0040159424
3|0040157839
4|0040158236
5|0040158447
6|0020723440
7|0020736123
8|0020736123
9|0020715601
10|0069444477
11|0040158332
12|0040157707
13|0020740496
14|0040158653
15|0040158323
16|0040158412
17|0069358959
18|0069358959
19|0010103849
20|0010103849
21|0020720228
22|0069447052
23|0020715586
24|0040158522
25|0020723442
26|0069451866
27|0069451866
28|0020720219
29|0040158954
30|0020746833
31|0020720821
32|0020712299
33|0069446801
34|0069446801
35|0020720002
36|0040159196
37|0040159196
38|0040159269
39|0069453097
40|0040159519
